x,y,u
1.4878048780,1.2072554801,0.0002616739
1.4878048780,1.2762415075,0.0001738366
1.4878048780,1.3452275349,0.0000867323
1.5365853659,-1.3452275349,0.0000947666
1.5365853659,-1.2762415075,0.0001899670
1.5365853659,-1.2072554801,0.0002860235
1.5365853659,-1.1382694526,0.0003833344
1.5365853659,-1.0692834252,0.0004822615
1.5365853659,-1.0002973978,0.0005831155
1.5365853659,-0.9313113703,0.0006861445
1.5365853659,-0.8623253429,0.0007915377
1.5365853659,-0.7933393155,0.0008994870
1.5365853659,-0.7243532880,0.0010103655
1.5365853659,-0.6553672606,0.0011247365
1.5365853659,-0.5863812332,0.0012378083
1.5365853659,-0.5173952057,0.0210611888
1.5365853659,-0.4484091783,0.0478678907
1.5365853659,-0.3794231509,0.0715335360
1.5365853659,-0.3104371234,0.0912635588
1.5365853659,-0.2414510960,0.1069944821
1.5365853659,-0.1724650686,0.1187533727
1.5365853659,-0.1034790411,0.1265753714
1.5365853659,-0.0344930137,0.1304821657
1.5365853659,0.0344930137,0.1304821657
1.5365853659,0.1034790411,0.1265753714
1.5365853659,0.1724650686,0.1187533727
1.5365853659,0.2414510960,0.1069944821
1.5365853659,0.3104371234,0.0912635588
1.5365853659,0.3794231509,0.0715335360
1.5365853659,0.4484091783,0.0478678907
1.5365853659,0.5173952057,0.0210611888
1.5365853659,0.5863812332,0.0012378083
1.5365853659,0.6553672606,0.0011247365
1.5365853659,0.7243532880,0.0010103655
1.5365853659,0.7933393155,0.0008994870
1.5365853659,0.8623253429,0.0007915377
1.5365853659,0.9313113703,0.0006861445
1.5365853659,1.0002973978,0.0005831155
1.5365853659,1.0692834252,0.0004822615
1.5365853659,1.1382694526,0.0003833344
1.5365853659,1.2072554801,0.0002860235
1.5365853659,1.2762415075,0.0001899670
1.5365853659,1.3452275349,0.0000947666
1.5853658537,-1.3452275349,0.0001025840
1.5853658537,-1.2762415075,0.0002056694
1.5853658537,-1.2072554801,0.0003097458
1.5853658537,-1.1382694526,0.0004152781
1.5853658537,-1.0692834252,0.0005226923
1.5853658537,-1.0002973978,0.0006323566
1.5853658537,-0.9313113703,0.0007445563
1.5853658537,-0.8623253429,0.0008594719
1.5853658537,-0.7933393155,0.0009772255
1.5853658537,-0.7243532880,0.0010982819
1.5853658537,-0.6553672606,0.0012260155
1.5853658537,-0.5863812332,0.0015105382
1.5853658537,-0.5173952057,0.0347902909
1.5853658537,-0.4484091783,0.0615725661
1.5853658537,-0.3794231509,0.0844388961
1.5853658537,-0.3104371234,0.1034969393
1.5853658537,-0.2414510960,0.1187257278
1.5853658537,-0.1724650686,0.1301283393
1.5853658537,-0.1034790411,0.1377197130
1.5853658537,-0.0344930137,0.1415123833
1.5853658537,0.0344930137,0.1415123833
1.5853658537,0.1034790411,0.1377197130
1.5853658537,0.1724650686,0.1301283393
1.5853658537,0.2414510960,0.1187257278
1.5853658537,0.3104371234,0.1034969393
1.5853658537,0.3794231509,0.0844388961
1.5853658537,0.4484091783,0.0615725661
1.5853658537,0.5173952057,0.0347902909
1.5853658537,0.5863812332,0.0015105382
1.5853658537,0.6553672606,0.0012260155
1.5853658537,0.7243532880,0.0010982819
1.5853658537,0.7933393155,0.0009772255
1.5853658537,0.8623253429,0.0008594719
1.5853658537,0.9313113703,0.0007445563
1.5853658537,1.0002973978,0.0006323566
1.5853658537,1.0692834252,0.0005226923
1.5853658537,1.1382694526,0.0004152781
1.5853658537,1.2072554801,0.0003097458
1.5853658537,1.2762415075,0.0002056694
1.5853658537,1.3452275349,0.0001025840
1.6341463415,-1.3452275349,0.0001101507
1.6341463415,-1.2762415075,0.0002208764
1.6341463415,-1.2072554801,0.0003327401
1.6341463415,-1.1382694526,0.0004462809
1.6341463415,-1.0692834252,0.0005619982
1.6341463415,-1.0002973978,0.0006803300
1.6341463415,-0.9313113703,0.0008016103
1.6341463415,-0.8623253429,0.0009259871
1.6341463415,-0.7933393155,0.0010533126
1.6341463415,-0.7243532880,0.0011828597
1.6341463415,-0.6553672606,0.0013048429
1.6341463415,-0.5863812332,0.0213917716
1.6341463415,-0.5173952057,0.0493885956
1.6341463415,-0.4484091783,0.0748556783
1.6341463415,-0.3794231509,0.0968688636
1.6341463415,-0.3104371234,0.1152654113
1.6341463415,-0.2414510960,0.1299905259
1.6341463415,-0.1724650686,0.1410293889
1.6341463415,-0.1034790411,0.1483838702
1.6341463415,-0.0344930137,0.1520594000
1.6341463415,0.0344930137,0.1520594000
1.6341463415,0.1034790411,0.1483838702
1.6341463415,0.1724650686,0.1410293889
1.6341463415,0.2414510960,0.1299905259
1.6341463415,0.3104371234,0.1152654113
1.6341463415,0.3794231509,0.0968688636
1.6341463415,0.4484091783,0.0748556783
1.6341463415,0.5173952057,0.0493885956
1.6341463415,0.5863812332,0.0213917716
1.6341463415,0.6553672606,0.0013048429
1.6341463415,0.7243532880,0.0011828597
1.6341463415,0.7933393155,0.0010533126
1.6341463415,0.8623253429,0.0009259871
1.6341463415,0.9313113703,0.0008016103
1.6341463415,1.0002973978,0.0006803300
1.6341463415,1.0692834252,0.0005619982
1.6341463415,1.1382694526,0.0004462809
1.6341463415,1.2072554801,0.0003327401
1.6341463415,1.2762415075,0.0002208764
1.6341463415,1.3452275349,0.0001101507
1.6829268293,-1.3452275349,0.0001174300
1.6829268293,-1.2762415075,0.0002355143
1.6829268293,-1.2072554801,0.0003548960
1.6829268293,-1.1382694526,0.0004761954
1.6829268293,-1.0692834252,0.0005999968
1.6829268293,-1.0002973978,0.0007268291
1.6829268293,-0.9313113703,0.0008571159
1.6829268293,-0.8623253429,0.0009910280
1.6829268293,-0.7933393155,0.0011282889
1.6829268293,-0.7243532880,0.0012712194
1.6829268293,-0.6553672606,0.0014903177
1.6829268293,-0.5863812332,0.0349385213
1.6829268293,-0.5173952057,0.0628722350
1.6829268293,-0.4484091783,0.0874862032
1.6829268293,-0.3794231509,0.1087276139
1.6829268293,-0.3104371234,0.1264900638
1.6829268293,-0.2414510960,0.1407189139
1.6829268293,-0.1724650686,0.1513930932
1.6829268293,-0.1034790411,0.1585079674
1.6829268293,-0.0344930137,0.1620646456
1.6829268293,0.0344930137,0.1620646456
1.6829268293,0.1034790411,0.1585079674
1.6829268293,0.1724650686,0.1513930932
1.6829268293,0.2414510960,0.1407189139
1.6829268293,0.3104371234,0.1264900638
1.6829268293,0.3794231509,0.1087276139
1.6829268293,0.4484091783,0.0874862032
1.6829268293,0.5173952057,0.0628722350
1.6829268293,0.5863812332,0.0349385213
1.6829268293,0.6553672606,0.0014903177
1.6829268293,0.7243532880,0.0012712194
1.6829268293,0.7933393155,0.0011282889
1.6829268293,0.8623253429,0.0009910280
1.6829268293,0.9313113703,0.0008571159
1.6829268293,1.0002973978,0.0007268291
1.6829268293,1.0692834252,0.0005999968
1.6829268293,1.1382694526,0.0004761954
1.6829268293,1.2072554801,0.0003548960
1.6829268293,1.2762415075,0.0002355143
1.6829268293,1.3452275349,0.0001174300
1.7317073171,-1.3452275349,0.0001243821
1.7317073171,-1.2762415075,0.0002495035
1.7317073171,-1.2072554801,0.0003760930
1.7317073171,-1.1382694526,0.0005048588
1.7317073171,-1.0692834252,0.0006364801
1.7317073171,-1.0002973978,0.0007716010
1.7317073171,-0.9313113703,0.0009108089
1.7317073171,-0.8623253429,0.0010543945
1.7317073171,-0.7933393155,0.0012004304
1.7317073171,-0.7243532880,0.0013306542
1.7317073171,-0.6553672606,0.0203827679
1.7317073171,-0.5863812332,0.0488629800
1.7317073171,-0.5173952057,0.0756362112
1.7317073171,-0.4484091783,0.0994234708
1.7317073171,-0.3794231509,0.1199463086
1.7317073171,-0.3104371234,0.1371019803
1.7317073171,-0.2414510960,0.1508451013
1.7317073171,-0.1724650686,0.1611569142
1.7317073171,-0.1034790411,0.1680316265
1.7317073171,-0.0344930137,0.1714686943
1.7317073171,0.0344930137,0.1714686943
1.7317073171,0.1034790411,0.1680316265
1.7317073171,0.1724650686,0.1611569142
1.7317073171,0.2414510960,0.1508451013
1.7317073171,0.3104371234,0.1371019803
1.7317073171,0.3794231509,0.1199463086
1.7317073171,0.4484091783,0.0994234708
1.7317073171,0.5173952057,0.0756362112
1.7317073171,0.5863812332,0.0488629800
1.7317073171,0.6553672606,0.0203827679
1.7317073171,0.7243532880,0.0013306542
1.7317073171,0.7933393155,0.0012004304
1.7317073171,0.8623253429,0.0010543945
1.7317073171,0.9313113703,0.0009108089
1.7317073171,1.0002973978,0.0007716010
1.7317073171,1.0692834252,0.0006364801
1.7317073171,1.1382694526,0.0005048588
1.7317073171,1.2072554801,0.0003760930
1.7317073171,1.2762415075,0.0002495035
1.7317073171,1.3452275349,0.0001243821
1.7804878049,-1.3452275349,0.0001309646
1.7804878049,-1.2762415075,0.0002627586
1.7804878049,-1.2072554801,0.0003962018
1.7804878049,-1.1382694526,0.0005320945
1.7804878049,-1.0692834252,0.0006712134
1.7804878049,-1.0002973978,0.0008143294
1.7804878049,-0.9313113703,0.0009623130
1.7804878049,-0.8623253429,0.0011165359
1.7804878049,-0.7933393155,0.0012804780
1.7804878049,-0.7243532880,0.0014689878
1.7804878049,-0.6553672606,0.0321816329
1.7804878049,-0.5863812332,0.0612613932
1.7804878049,-0.5173952057,0.0875136372
1.7804878049,-0.4484091783,0.1106134134
1.7804878049,-0.3794231509,0.1304690504
1.7804878049,-0.3104371234,0.1470406360
1.7804878049,-0.2414510960,0.1603074068
1.7804878049,-0.1724650686,0.1702597494
1.7804878049,-0.1034790411,0.1768945718
1.7804878049,-0.0344930137,0.1802117409
1.7804878049,0.0344930137,0.1802117409
1.7804878049,0.1034790411,0.1768945718
1.7804878049,0.1724650686,0.1702597494
1.7804878049,0.2414510960,0.1603074068
1.7804878049,0.3104371234,0.1470406360
1.7804878049,0.3794231509,0.1304690504
1.7804878049,0.4484091783,0.1106134134
1.7804878049,0.5173952057,0.0875136372
1.7804878049,0.5863812332,0.0612613932
1.7804878049,0.6553672606,0.0321816329
1.7804878049,0.7243532880,0.0014689878
1.7804878049,0.7933393155,0.0012804780
1.7804878049,0.8623253429,0.0011165359
1.7804878049,0.9313113703,0.0009623130
1.7804878049,1.0002973978,0.0008143294
1.7804878049,1.0692834252,0.0006712134
1.7804878049,1.1382694526,0.0005320945
1.7804878049,1.2072554801,0.0003962018
1.7804878049,1.2762415075,0.0002627586
1.7804878049,1.3452275349,0.0001309646
1.8292682927,-1.3452275349,0.0001371323
1.8292682927,-1.2762415075,0.0002751892
1.8292682927,-1.2072554801,0.0004150858
1.8292682927,-1.1382694526,0.0005577172
1.8292682927,-1.0692834252,0.0007039483
1.8292682927,-1.0002973978,0.0008546239
1.8292682927,-0.9313113703,0.0010106975
1.8292682927,-0.8623253429,0.0011738178
1.8292682927,-0.7933393155,0.0013482416
1.8292682927,-0.7243532880,0.0022461615
